,a_lot,ba,device,wafer_info,device_group,package,bond_wire,release,scrapped,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,edit_user,edit_date,create_user,create_date,box_class
170,597915,630865,ZXM61N02F,8Z20GILLS.2: 6(unprobed),HDMOS,SOT23,AU,True,False,51.0,2561.0,116301.0,0.978034361255708,2020-07-21 00:00:00.000,1129,False,True,Ausbeute,IDSS,tobias-hofmann,2020-07-21 14:07:30.820,tobias-hofmann,2020-07-20 09:41:33.953,       334: Grenzwert;        334: Rückstellmuster;        334: Totalausfall
171,601534,631503,ZXMN3A14F,9Z23DUCHY.4: 10(unprobed),UMOS,LFSOT23,AU,False,False,,,30000.0,1.0,2020-08-24 00:00:00.000,1125,False,False,Prozessfehler,,felix-kannemann,2020-09-01 14:08:50.863,ingo-hoerselmann,2020-07-16 11:43:03.880,       227: Ausfall Gurter;        227: Rückstellmuster;        227: Vision;        247: Blown on Test;        247: Grenzwert;        247: Kelvin;        247: Totalausfall
172,Z250620,631246,PT100,,SEN ELINEX,SEN,AU,False,False,,309.0,27520.0,0.9888964749002839,2020-09-04 00:00:00.000,1124,False,False,Prozessfehler,,ingo-hoerselmann,2020-07-15 12:17:07.987,ingo-hoerselmann,2020-07-15 12:13:14.637,
173,600009,631193,FMMT634,9Z19FOOTS.3: 3(probed); 9Z27SARIS.4: 6(unprobed),ST,SOT23,CU,False,False,,,,,,1123,False,True,Allg. & ZVR.,ICEO (BoT),felix-kannemann,2020-09-01 14:08:12.100,martin-krausse,2020-07-14 13:58:20.763,       335: Blown on Test;        335: Grenzwert;        335: Rückstellmuster;        335: Totalausfall
174,597942,630892,FZT956Q,9Z22GAUGE.7: 18(unprobed); 9Z22GAUGE.5: 5(ringprobed); 9Z19BARRE.5: 7(ringprobed),HT,SOT223,AU,True,False,1781.0,1592.0,149607.0,0.977951366191659,2020-07-15 00:00:00.000,1122,False,True,Q-Fehler,BVEBO,felix-kannemann,2020-07-13 13:39:46.203,felix-kannemann,2020-07-13 10:25:12.237,         5: Ausfall Gurter;          5: Rückstellmuster;          5: Vision;        333: Q-Fehler;        342: Grenzwert;        342: Totalausfall
175,600221,631206,ZTLV431AF,9Z31BLURB.7: 4(ringprobed),IC,LFSOT23,AU,True,False,1611.0,82.0,76874.0,0.9784515127216261,2020-08-20 00:00:00.000,1121,False,False,Allg. & ZVR.,Vref ,minsung-kim,2020-08-19 10:58:49.790,felix-kannemann,2020-07-08 14:01:51.350,       346: Grenzwert;        346: Rückstellmuster;        346: Totalausfall;        346: Vision
176,600002,631186,FMMT549,9Z20PILOT.7: 5(unprobed),HT,SOT23,AU,True,False,217.0,256.0,161567.0,0.9970809676623056,2020-08-12 00:00:00.000,1120,False,False,Allg. & ZVR.,,felix-kannemann,2020-08-17 08:51:03.140,felix-kannemann,2020-07-08 14:01:14.793,        84: Grenzwert;         84: Rückstellmuster;         84: Totalausfall;         84: Vision;        339: Grenzwert;        339: Rückstellmuster;        339: Totalausfall
177,597944,630894,ZSR330G,9Z28PITHS.1: 25(probed),IC,SOT223,AU,True,False,1864.0,600.0,217888.0,0.9888178913738019,2020-07-14 00:00:00.000,1119,False,False,Prozessfehler,,felix-kannemann,2020-07-08 13:57:20.200,felix-kannemann,2020-07-08 13:53:54.563,         5: Grenzwert;          5: Rückstellmuster;          5: Totalausfall;          5: Vision
178,600615,631276,ZX5T955G,9Z29WAGED.5: 24(unprobed),HT,SOT223,PD,False,False,,,,,,1118,True,False,Allg. & ZVR.,,martin-krausse,2020-08-25 08:18:19.937,felix-kannemann,2020-07-08 11:02:01.970,
179,597941,630891,FZT953,9Z17MURAL.4: 1(probed); 9Z17MURAL.7: 18(unprobed); 9Z15HULLO.5: 12(unprobed),HT,SOT223,CU,True,False,2604.0,1770.0,156017.0,0.9727291431564116,2020-07-07 00:00:00.000,1117,False,True,Q-Fehler,IEB0,tobias-hofmann,2020-07-06 13:17:48.987,tobias-hofmann,2020-07-06 11:24:02.983,       330: Datalog;        330: Grenzwert;        330: Totalausfall;        342: Ausfall Gurter;        342: Q-Fehler;        342: Rückstellmuster;        342: Vision
