a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,box_class,year,month,week,day
440932,18201469,ZXMN3A14FQ,,UMOS,SMD,LFSOT23,AU,TA,21956.0,21929.0,288.0,327.0,21314.0,0.9719549455059511,2018-07-09 00:00:00.000,0,,,,,,,,,,325; 325; 275; 225,AOT40101; AOT40101; HP40369; HP40369,103; 103; 441; 441,,ZXMN3A14D,LEADFRAME DZN 1011,       373: Blown on Test;        373: Grenzwert;        373: Totalausfall;        374: Ausfall Gurter,2018.0,7.0,28.0,9.0
440931,18201467,ZXMN2A14F,,UMOS,SMD,LFSOT23,AU,TA,113044.0,114771.0,785.0,566.0,113420.0,0.9882287337393593,2018-07-06 00:00:00.000,0,,,,,,,,,,325; 275; 325; 275; 293; 325; 325; 275; 325; 275; 325; 293; 293; 293; 228; 304; 293,HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101; AOT40101,441; 441; 441; 441; 441; 441; 441; 441; 441; 441; 441; 103; 103; 103; 103; 103; 103,,ZXMN2A14D,LEADFRAME DZN 1011,       374: Ausfall Gurter,2018.0,7.0,27.0,6.0
440930,18201479,ZXCT1008QF,,IC,SMD,LFSOT23,AU,TC,124303.0,154645.0,30266.0,469.0,123910.0,0.8012544860810242,2018-06-21 00:00:00.000,488,True,False,Ausbeute,"<font color=""#404040"">Iout</font>",<div>WPS gesendet am 18.07.2018</div>,christoph-siebert,2018-07-17 14:56:10.550,christoph-siebert,2018-07-17 13:21:44.570,304; 287; 292,HP40186; HP40186; HP40186,1023; 1023; 1023,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,2018.0,6.0,25.0,21.0
440929,18201480,ZXCT1008QF,,IC,SMD,LFSOT23,AU,TA,106657.0,137869.0,31895.0,94.0,105880.0,0.7679753969347715,2018-06-22 00:00:00.000,489,True,False,Ausbeute,"<font color=""#404040"">Iout</font>",<div>WPS gesendet am 18.07.2018</div>,christoph-siebert,2018-07-17 14:56:01.580,christoph-siebert,2018-07-17 13:22:07.067,304; 287,HP40186; HP40186,1023; 1023,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,       153: Totalausfall,2018.0,6.0,25.0,22.0
440928,18201481,ZXCT1008F,,IC,SMD,LFSOT23,AU,TA,107911.0,130123.0,22322.0,711.0,107090.0,0.8229905550901839,2018-07-02 00:00:00.000,490,True,False,Ausbeute,"<font color=""#404040"">Iout</font>",<div>WPS gesendet am 18.07.2018</div>,christoph-siebert,2018-07-17 14:55:43.703,christoph-siebert,2018-07-17 13:22:32.070,275,HP40186,1023,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,       153: Vision,2018.0,7.0,27.0,2.0
440927,18201473,ZMR500F,,IC,SMD,LFSOT23,AU,TA,80075.0,79349.0,29.0,330.0,78990.0,0.9954756833734515,2018-06-29 00:00:00.000,0,,,,,,,,,,,,,,ZMR500XF,LEADFRAME DZN 1011,       153: Grenzwert;        153: Totalausfall,2018.0,6.0,26.0,29.0
440926S,18201455,ZXMP6A13F,,UMOS,SMD,SOT23,CU,TA,216289.0,218085.0,3295.0,400.0,214390.0,0.9830570649058853,2018-06-25 00:00:00.000,0,,,,,,,,,,225; 225; 287; 225; 293; 225; 287; 293,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250; 250; 250,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,       153: Gate Rupted;        153: Grenzwert;        153: Totalausfall,2018.0,6.0,26.0,25.0
440925S,18201454,ZXMP6A13F,,UMOS,SMD,SOT23,CU,TA,234960.0,236681.0,1946.0,715.0,234020.0,0.9887570189411063,2018-06-20 00:00:00.000,0,,,,,,,,,,293; 221; 322; 289; 293; 293; 322; 293; 293; 322,HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369; HP40369,442; 442; 442; 442; 442; 442; 442; 442; 442; 442,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,       454: Ausfall Gurter,2018.0,6.0,25.0,20.0
440923S,18201453,ZXMP6A13F,,UMOS,SMD,SOT23,CU,TA,191337.0,188022.0,145.0,247.0,187630.0,0.9979151375902819,2018-06-25 00:00:00.000,0,,,,,,,,,,287; 322; 287; 287; 322; 287,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,       454: Ausfall Gurter,2018.0,6.0,26.0,25.0
440922S,18201452,ZXMP6A13F,,UMOS,SMD,SOT23,CU,TA,191865.0,192485.0,108.0,217.0,192160.0,0.9983115567446814,2018-06-21 00:00:00.000,0,,,,,,,,,,289; 225; 322; 289; 287; 225; 322,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250; 250,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,       454: Gate Rupted;        454: Grenzwert;        454: Totalausfall,2018.0,6.0,25.0,21.0
