index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
2940,503858,FZT690B,9Y31THORN.3: 8(ringprobed),MT,SOT223,CU,TA,97249.0,98.76,2019-09-17,0,,,npn,FZT651BD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,98000.0,0.0,98000.0,2019-09-17 00:00:00,SÄGEN,99075.0,0.0,99075.0,2019-08-31 00:00:00,0.989149634115569,1.018552200800291,AUSLIEFERN,Ausgeliefert,Erledigt
2941,503857,FZT651,9Y29FACIA.4: 7(unprobed),MT,SOT223,CU,TC,91105.0,99.32,2019-09-13,0,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,92000.0,0.0,92000.0,2019-09-13 00:00:00,SÄGEN,91798.0,0.0,91798.0,2019-08-30 00:00:00,1.0022004836706682,1.011589294746333,AUSLIEFERN,Ausgeliefert,Erledigt
2942,503856,FZT651,9Y34ENJOY.4: 6(unprobed),MT,SOT223,CU,TA,75988.0,99.38,2019-09-13,0,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,74000.0,0.0,74000.0,2019-09-13 00:00:00,SÄGEN,78684.0,0.0,78684.0,2019-08-30 00:00:00,0.9404707437344314,1.0013125312910165,AUSLIEFERN,Ausgeliefert,Erledigt
2943,503855,FZT603,9Y32POLYP.4: 5(unprobed),MT,SOT223,CU,TA,65817.0,98.96,2019-09-17,0,,,npn,FZT603D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,66000.0,0.0,66000.0,2019-09-17 00:00:00,SÄGEN,66825.0,0.0,66825.0,2019-09-06 00:00:00,0.9876543209876543,1.009668339248562,AUSLIEFERN,Ausgeliefert,Erledigt
2944,503854,FZT600,9Y27EJECT.3: 6(unprobed),MT,SOT223,CU,TA,79067.0,98.84,2019-09-24,0,,,npn,FZT601BD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,79000.0,0.0,79000.0,2019-09-24 00:00:00,SÄGEN,80190.0,0.0,80190.0,2019-09-06 00:00:00,0.9851602444195037,1.0063566069222047,AUSLIEFERN,Ausgeliefert,Erledigt
2945,503810,ZXMN2B14FH,9Y33MUNCH.4: 6(unprobed),UMOS,LFSOT23,AU,TA,62246.0,98.36,2019-10-10,0,,,,ZXMN2B14D,LEADFRAME DZN 1011,,AUSLIEFERN,60000.0,0.0,60000.0,2019-10-10 00:00:00,SÄGEN,65868.0,0.0,65868.0,2019-09-10 00:00:00,0.9109127345600292,1.0162429498145356,AUSLIEFERN,Ausgeliefert,Erledigt
2946,503809,ZXCT1008QF,9Y33EARTH.2: 9(probed),IC,LFSOT23,AU,TC,114401.0,95.4,2019-09-12,0,,,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,AUSLIEFERN,120000.0,0.0,120000.0,2019-09-12 00:00:00,SÄGEN,120728.0,0.0,120728.0,2019-08-31 00:00:00,0.9939699158438805,1.0653219935725573,AUSLIEFERN,Ausgeliefert,Erledigt
2947,503808,ZXCT1008F,9Y35PURSE.3: 11(probed),IC,LFSOT23,AU,TA,129790.0,74.57,2019-09-13,879,True,False,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,,AUSLIEFERN,129000.0,0.0,129000.0,2019-09-18 00:00:00,SÄGEN,176241.0,0.0,176241.0,2019-08-29 00:00:00,0.731952269903144,1.0063265958857623,AUSLIEFERN,Ausgeliefert,Erledigt
2948,503807,ZR431F,9Y36HEALS.4: 3(unprobed),IC,LFSOT23,AU,TA,60187.0,99.38,2019-09-17,0,,,,ZR43102XF,LEADFRAME DZN 1020,,AUSLIEFERN,57000.0,0.0,57000.0,2019-09-17 00:00:00,SÄGEN,61164.0,0.0,61164.0,2019-09-08 00:00:00,0.9319207376888365,1.0031678986272439,AUSLIEFERN,Ausgeliefert,Erledigt
2949,503806,ZMR500QF,9Y36ROMAN.9: 1(unprobed),IC,LFSOT23,AU,TA,18401.0,98.63,2019-09-23,0,,,,ZMR500XF,LEADFRAME DZN 1011,,AUSLIEFERN,15000.0,0.0,15000.0,2019-09-23 00:00:00,SÄGEN,20388.0,0.0,20388.0,2019-09-13 00:00:00,0.7357268981753973,1.004419445560466,AUSLIEFERN,Ausgeliefert,Erledigt
2950,503805,ZMR500F,9Y36ROMAN.9: 2(n/a); 9Y36ROMAN.7: 2(probed),IC,LFSOT23,AU,TA,76231.0,98.2,2019-09-23,0,,,,ZMR500XF,LEADFRAME DZN 1011,,AUSLIEFERN,75000.0,0.0,75000.0,2019-09-23 00:00:00,SÄGEN,80655.0,0.0,80655.0,2019-09-12 00:00:00,0.9298865538404315,1.007265743563572,AUSLIEFERN,Ausgeliefert,Erledigt
2951,503804,ZMR330F,9Y36FILED.4: 10(unprobed),IC,LFSOT23,AU,TA,194895.0,95.8,2019-09-23,0,,,,ZMR330F,LEADFRAME DZN 1011,,AUSLIEFERN,195000.0,0.0,195000.0,2019-09-23 00:00:00,SÄGEN,203880.0,0.0,203880.0,2019-09-09 00:00:00,0.9564449676280165,1.0047454902385111,AUSLIEFERN,Ausgeliefert,Erledigt
2952,503803,ZMR330F,9Y36FILED.4: 10(unprobed),IC,LFSOT23,AU,TA,192441.0,95.04,2019-09-23,0,,,,ZMR330F,LEADFRAME DZN 1011,,AUSLIEFERN,192000.0,0.0,192000.0,2019-09-23 00:00:00,SÄGEN,203880.0,0.0,203880.0,2019-09-08 00:00:00,0.9417304296645085,1.0111542958258286,AUSLIEFERN,Ausgeliefert,Erledigt
2953,503802,ZHT431F02,9Y36HEALS.4: 2(unprobed),IC,LFSOT23,AU,TA,40217.0,99.52,2019-10-07,0,,,,ZR43102XF,LEADFRAME DZN 1020,,AUSLIEFERN,42000.0,0.0,42000.0,2019-10-07 00:00:00,SÄGEN,40776.0,0.0,40776.0,2019-09-04 00:00:00,1.0300176574455562,1.0545874554311254,AUSLIEFERN,Ausgeliefert,Erledigt
2954,503685,ZXMP6A13F,9Y31CHUGS.4: 12(probed),UMOS,SOT23,CU,TA,223521.0,97.95,2019-09-26,0,,,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,225000.0,0.0,225000.0,2019-09-26 00:00:00,SÄGEN,231833.0,0.0,231833.0,2019-09-06 00:00:00,0.9705261977371642,1.0244688698059428,AUSLIEFERN,Ausgeliefert,Erledigt
2955,503684,ZXMP6A13F,9Y31CHUGS.4: 11(probed); 9Y30MALTA.6: 2(probed),UMOS,SOT23,CU,TA,246066.0,99.2,2019-09-18,0,,,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,243000.0,0.0,243000.0,2019-09-18 00:00:00,SÄGEN,251049.0,0.0,251049.0,2019-09-03 00:00:00,0.9679385299284203,1.003348624421423,AUSLIEFERN,Ausgeliefert,Erledigt
2956,503683,ZXMN3B01F,9Y30BEEPS.4: 12(probed),UMOS,SOT23,CU,TA,207888.0,99.4,2019-09-17,0,,,,ZXMN3B01C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,204000.0,0.0,204000.0,2019-09-17 00:00:00,SÄGEN,210038.0,0.0,210038.0,2019-09-05 00:00:00,0.9712528209181196,1.0054362558342411,AUSLIEFERN,Ausgeliefert,Erledigt
2957,503682,ZRC330F01,9Y34EXPEL.12: 6(probed),IC,SOT23,AU,TA,89462.0,99.77,2019-09-23,0,,,,ZRC33001C,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,84000.0,0.0,84000.0,2019-09-23 00:00:00,SÄGEN,90082.0,0.0,90082.0,2019-09-11 00:00:00,0.9324837370395862,1.0035482599189993,AUSLIEFERN,Ausgeliefert,Erledigt
2958,503681,ZRC250F03,9Y31TRAIL.29: 3(ringprobed),IC,SOT23,AU,TA,60276.0,99.69,2019-09-19,0,,,,ZR28503C,TRÄGERBAND TB 401 L-A veredelt,,AUSLIEFERN,57000.0,0.0,57000.0,2019-09-19 00:00:00,SÄGEN,62384.0,0.0,62384.0,2019-09-10 00:00:00,0.9136958194408823,1.0202985715819999,AUSLIEFERN,Ausgeliefert,Erledigt
2959,503680,FMMT625,9Y33FILCH.3: 5(ringprobed),ST,SOT23,CU,TA,82288.0,98.08,2019-09-13,0,,,npn,FMMT625C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,81000.0,0.0,81000.0,2019-09-13 00:00:00,SÄGEN,84953.0,0.0,84953.0,2019-09-02 00:00:00,0.9534683884029993,1.0029717682020802,AUSLIEFERN,Ausgeliefert,Erledigt
2960,503679,FMMT619,9Y32RENEW.10: 7(unprobed),ST,SOT23,CU,TA,129864.0,99.31,2019-09-12,0,,,npn,FMMT619C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,126000.0,0.0,126000.0,2019-09-12 00:00:00,SÄGEN,130803.0,0.0,130803.0,2019-09-01 00:00:00,0.9632806587004885,1.0089120564990752,AUSLIEFERN,Ausgeliefert,Erledigt
2961,503678,FMMT618,9Y37KARMA.4: 3(unprobed),ST,SOT23,CU,TA,54366.0,95.71,2019-09-12,0,,,npn,FMMT618C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,54000.0,0.0,54000.0,2019-09-12 00:00:00,SÄGEN,56847.0,0.0,56847.0,2019-08-30 00:00:00,0.9499182014882052,1.006824029533505,AUSLIEFERN,Ausgeliefert,Erledigt
2962,503677,FMMT596,9Y33TUBAS.6: 3(unprobed),HT,SOT23,CU,TA,95785.0,99.65,2019-09-16,0,,,pnp,FMMT596C,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,96000.0,0.0,96000.0,2019-09-16 00:00:00,SÄGEN,96952.0,0.0,96952.0,2019-08-30 00:00:00,0.9901807079792062,1.0059835060620985,AUSLIEFERN,Ausgeliefert,Erledigt
2963,503676,FMMT491AQ,9Y27JIFFY.4: 4(unprobed),HT,SOT23,AU,TA,128936.0,99.36,2019-09-23,0,,,npn,FMMT491AC,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,129000.0,0.0,129000.0,2019-09-23 00:00:00,SÄGEN,131252.0,0.0,131252.0,2019-09-07 00:00:00,0.9828421662146101,1.0044382153702407,AUSLIEFERN,Ausgeliefert,Erledigt
2964,503674,BFS17N,7GCR-5211: 1(n/a),RF,SOT23,AU,TA,75017.0,99.97,2019-10-10,0,,,npn,,TRÄGERBAND TB 401 LS-N  85 my,,AUSLIEFERN,75000.0,0.0,75000.0,2019-10-10 00:00:00,SÄGEN,78147.0,0.0,78147.0,2019-09-16 00:00:00,0.9597297401051864,1.0273972602739727,AUSLIEFERN,Ausgeliefert,Erledigt
2965,502959,ZXTN19100CFF,9Y34SKIED.6: 8(probed); 9Y33DUOMO.5: 1(probed),MT,SOT23F,CU,TA,81121.0,85.94,2019-10-17,889,True,False,,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,81000.0,0.0,81000.0,2019-10-17 00:00:00,SÄGEN,88000.0,0.0,88000.0,2019-09-23 00:00:00,0.9204545454545454,1.1258756810852886,AUSLIEFERN,Ausgeliefert,Erledigt
2966,502958,ZXTN19100CFF,9Y32BIRCH.5: 11(ringprobed); 9Y32CUBAN.5: 2(ringprobed),MT,SOT23F,CU,TA,150230.0,98.99,2019-10-08,0,,,,,TRÄGERBAND TB 301-6 6-row,,AUSLIEFERN,147000.0,0.0,147000.0,2019-10-08 00:00:00,SÄGEN,152636.0,0.0,152636.0,2019-09-15 00:00:00,0.9630755522943474,1.0430562256974996,AUSLIEFERN,Ausgeliefert,Erledigt
