index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
2977,501679,ZX5T951G-36,9Y31ERUPT.8: 5(probed); 9Y31ERUPT.9: 3(ringprobed),HT,SOT223,AU,TC,63255.0,98.93,2019-09-18,0,,,,,TRÄGERBAND TB4404-B,MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,60000.0,0.0,60000.0,2019-09-17 00:00:00,SÄGEN,64429.0,0.0,64429.0,2019-08-26 00:00:00,0.9312576634745223,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
2978,501678,ZX5T851G-36,9Y36PETIT.4: 24(unprobed),HT,SOT223,AU,TC,211164.0,99.02,2019-09-11,0,,,,,TRÄGERBAND TB4404-B,MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,212000.0,0.0,212000.0,2019-09-11 00:00:00,SÄGEN,214785.0,0.0,214785.0,2019-08-24 00:00:00,0.9870335451730801,1.005087068037757,AUSLIEFERN,Ausgeliefert,Erledigt
2979,501677,ZVP2106G,9Y37ABUZZ.6: 3(unprobed),MOSFET-M,SOT223,CU,TA,40104.0,99.46,2019-09-03,0,,,pMOSe,ZVP2106D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,40000.0,0.0,40000.0,2019-09-03 00:00:00,SÄGEN,40392.0,0.0,40392.0,2019-08-25 00:00:00,0.9902951079421668,1.00035012254289,AUSLIEFERN,Ausgeliefert,Erledigt
2980,501676,ZVNL120G,9Y33ALKYL.6: 8(ringprobed),MOSFET-M,SOT223,CU,TA,92048.0,97.74,2019-09-03,0,,,nMOSe,ZVNL120D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,92000.0,0.0,92000.0,2019-09-03 00:00:00,SÄGEN,100324.0,0.0,100324.0,2019-08-23 00:00:00,0.9170288266018102,1.0085618127802323,AUSLIEFERN,Ausgeliefert,Erledigt
2981,501675,ZVN4210G,9Y30SEATS.6: 2(probed),MOSFET-M,SOT223,CU,TA,26412.0,99.68,2019-09-04,0,,,nMOSe,ZVN4210D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,26000.0,0.0,26000.0,2019-09-04 00:00:00,SÄGEN,26599.0,0.0,26599.0,2019-08-23 00:00:00,0.9774803564043761,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
2982,501674,ZVN4206G,9Y33ABIES.4: 2(unprobed),MOSFET-M,SOT223,CU,TC,,,,0,,,nMOSe,ZVN4206D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,BONDEN,0.0,0.0,0.0,2019-10-04 00:00:00,SÄGEN,26736.0,0.0,26736.0,2019-08-22 00:00:00,0.0,0.0,BONDEN,322 Tage nach Vorbereitung von BONDEN,Vor dem Beginn des Schritts
2983,501673,ZVN4206G,9Y33ABIES.4: 3(unprobed),MOSFET-M,SOT223,CU,TA,27675.0,93.75,2019-09-03,0,,,nMOSe,ZVN4206D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,27000.0,0.0,27000.0,2019-09-03 00:00:00,SÄGEN,40104.0,0.0,40104.0,2019-08-22 00:00:00,0.6732495511669659,1.0112738304805424,AUSLIEFERN,Ausgeliefert,Erledigt
2984,501672,ZVN2110G,9Y36NAKED.5: 3(unprobed),MOSFET-M,SOT223,CU,TA,38318.0,95.47,2019-08-30,0,,,nMOSe,ZVN2110D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,39000.0,0.0,39000.0,2019-08-30 00:00:00,SÄGEN,40392.0,0.0,40392.0,2019-08-22 00:00:00,0.9655377302436126,1.042362688761192,AUSLIEFERN,Ausgeliefert,Erledigt
2985,501671,ZVN2106G,9Y35PAGED.4: 9(unprobed),MOSFET-M,SOT223,CU,TA,119770.0,99.01,2019-09-02,0,,,nMOSe,ZVN2106D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,119000.0,0.0,119000.0,2019-09-02 00:00:00,SÄGEN,121176.0,0.0,121176.0,2019-08-22 00:00:00,0.9820426487093153,1.0036011570930987,AUSLIEFERN,Ausgeliefert,Erledigt
2986,501670,FZT951,9Y34THEIR.5: 13(unprobed); 9Y33SHIED.5: 1(probed); 9Y33SHIED.7: 2(probed); 9Y33SHIED.9: 2(unprobed),HT,SOT223,CU,TA,89371.0,98.82,2019-09-10,0,,,pnp,FZT951D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,AUSLIEFERN,90000.0,0.0,90000.0,2019-09-10 00:00:00,SÄGEN,94189.0,0.0,94189.0,2019-08-28 00:00:00,0.9555255921604434,1.0195412064570943,AUSLIEFERN,Ausgeliefert,Erledigt
